,Win,Loss,Games,Win Pct,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Down Rank,First Down Runs,First Down Passes,First Down Penalties,First Downs,First Down Def Rank,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,4th Down Rank,4th Attempts,4th Conversions,4th Percent,4rd Down Def Rank,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent,Kickoff Return Def Rank,Opp Kickoff Returns,Kickoff Touchbacks,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,Kickoff Return Rank,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Passing Off Rank,Pass Attempts,Pass Completions,Interceptions Thrown.x,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Penalty Rank,Penalties,Penalty Yards,Penalty Yards Per Game,Punt Return Rank,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Punt Return Def Rank,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Redzone Def Rank,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Redzone Off Rank,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Sack Rank,Sacks,Sack Yards,Average Sacks per Game,Scoring Def Rank,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Tackle for Loss Rank,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,3rd Down Rank,3rd Attempts,3rd Conversions,3rd Percent,Time of Possession Rank,Turnover Rank,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown.y,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Win,1,-0.988655461,0.867916289,0.99446111,-0.547510013,0.715854706,0.773413002,0.651545047,0.774386209,0.613810655,-0.649593472,0.409989709,-0.367940875,-0.668827249,-0.602171385,-0.623597436,-0.654919047,-0.734900313,0.541772402,0.421182816,0.195352136,0.76517728,-0.139975734,-0.376788424,0.071653535,0.292394623,-0.16133682,-0.399008923,0.038510144,-0.21766313,0.389119764,-0.328042798,0.186432386,0.505544349,-0.355774414,-0.247018092,0.227657794,0.554581581,0.157465913,-0.023833391,-0.217388702,-0.152266376,-0.281678645,-0.169374585,0.158089351,0.174070207,-0.33116785,0.133337098,0.256789007,-0.370948485,0.455915863,0.63103572,0.415757168,0.568529976,0.289186086,-0.33865019,0.253571435,0.590343849,-0.002728017,-0.369579531,-0.637192301,-0.388896455,-0.354598918,0.060281261,0.266284921,0.298567273,0.044160626,-0.1020744,0.498308972,0.399965371,0.161825984,0.072736608,-0.018464512,-0.298646702,-0.233735376,-0.196889833,-0.035982756,-0.362425813,-0.511207442,-0.552242463,-0.308380542,0.012944801,-0.55866657,-0.353767574,-0.480288443,0.733190762,0.618333749,0.494904208,0.248046362,0.771867857,0.495208718,-0.641987487,-0.039246886,-0.481568067,-0.612193027,-0.566136819,-0.63401647,-0.36651654,0.487804019,0.517634377,0.437717447,0.614284601,0.38187527,-0.587643537,0.67417767,0.676183548,0.578881755,-0.740313543,-0.623597436,-0.631395864,0.159313769,-0.162653917,-0.018725045,-0.037987328,-0.627611265,-0.753355117,-0.734829437,0.800131733,0.81161642,0.056085382,0.213257358,0.329340147,0.016782765,0.836112071,0.763336411,-0.40335092,0.554609846,0.361111178,0.67614609,0.597194482,0.408175603,-0.64528103,0.236045043,0.619896791,0.649799459,-0.347587414,-0.517908614,0.230568545,0.569342329,0.569813833,-0.015864528,-0.370948485,-0.305808697,0.545360189,0.544279341
Loss,-0.988655461,1,-0.7834637,-0.996527657,0.555317406,-0.676845842,-0.75021904,-0.649793565,-0.759559199,-0.62207121,0.647073051,-0.352309353,0.406359024,0.673249944,0.632015413,0.652252915,0.654612979,0.713555834,-0.53628829,-0.39542595,-0.191289225,-0.739583716,0.18224984,0.410485551,-0.048514793,-0.255517029,0.209998664,0.417363797,-0.055009055,0.211233456,-0.409616647,0.331716531,-0.171161293,-0.482206589,0.362852618,0.256129624,-0.239166454,-0.522798319,-0.167259146,0.000556605,0.223478515,0.129154037,0.313829911,0.205377464,-0.16324889,-0.149535853,0.338045419,-0.109556947,-0.235690887,0.406762789,-0.434924208,-0.640722396,-0.427102196,-0.561720842,-0.288945091,0.329643178,-0.232760652,-0.5617087,0.027127359,0.397679502,0.638366411,0.396603457,0.342998357,-0.040735087,-0.220095412,-0.254467297,-0.024415327,0.096316595,-0.470407585,-0.389902604,-0.160799734,-0.072882535,0.035618067,0.303225797,0.24189118,0.185354712,0.055260369,0.368465199,0.550119465,0.572500149,0.343080979,0.002557887,0.596459136,0.360841483,0.492455924,-0.711250088,-0.6011702,-0.484268062,-0.246891806,-0.754324117,-0.506032685,0.649749191,0.088766325,0.512188581,0.623052128,0.587418566,0.64274524,0.377704026,-0.477733605,-0.511021928,-0.437151729,-0.59824031,-0.391982524,0.592969294,-0.663657774,-0.669760638,-0.58413375,0.744420683,0.652252915,0.65840471,-0.148986441,0.163702285,0.033687993,0.032868573,0.658698837,0.761733663,0.739140877,-0.78524843,-0.797891254,-0.049243437,-0.203723423,-0.329672015,0.010589801,-0.821309873,-0.76964272,0.402746389,-0.533887994,-0.347916443,-0.664234899,-0.574986817,-0.411276036,0.647093413,-0.21560384,-0.614344408,-0.658009313,0.338865367,0.541571546,-0.228460245,-0.560767524,-0.562061072,0.044501772,0.406762789,0.352855571,-0.569051205,-0.568118265
Games,0.867916289,-0.7834637,1,0.818966744,-0.428833643,0.723447031,0.718944064,0.546835267,0.692082962,0.48239112,-0.547757533,0.531202706,-0.178490563,-0.540768598,-0.401349994,-0.423072683,-0.544857098,-0.680846932,0.468023725,0.43492747,0.175656386,0.720040525,0.023563275,-0.201449845,0.136020216,0.364757627,0.026949076,-0.270638109,-0.022582555,-0.202010249,0.255342592,-0.260257899,0.205314533,0.4969814,-0.272027761,-0.174992329,0.150988309,0.565630947,0.098373814,-0.096766865,-0.16038081,-0.202873824,-0.127582778,-0.021588294,0.114215001,0.225682292,-0.252257959,0.189363382,0.283008482,-0.189598919,0.448011398,0.49197868,0.307727197,0.494625029,0.240937162,-0.311001114,0.279386398,0.584917229,0.078422521,-0.213973199,-0.525241899,-0.297452898,-0.332821725,0.114696165,0.373870341,0.393767592,0.101968086,-0.103803488,0.506064915,0.365408602,0.137774114,0.059917923,0.041393339,-0.23285337,-0.167122922,-0.201643655,0.03387038,-0.280986424,-0.295825933,-0.391590737,-0.141326008,0.062016277,-0.338938015,-0.270375483,-0.358594162,0.681398918,0.570223822,0.446141985,0.209795845,0.698975862,0.375426922,-0.507438855,0.131168626,-0.298633152,-0.472454532,-0.399742077,-0.497621662,-0.267358755,0.438375127,0.451710878,0.365351488,0.563160061,0.283684945,-0.470367226,0.594626274,0.582743352,0.46333537,-0.601174365,-0.423072683,-0.434993866,0.166446345,-0.131600933,0.033932724,-0.048472252,-0.418362911,-0.597878682,-0.595944746,0.71364821,0.719355174,0.069199413,0.208617388,0.272386663,0.104456639,0.74325808,0.613019979,-0.336941869,0.529074673,0.343501391,0.600861822,0.569350507,0.328696085,-0.529848035,0.263610287,0.53312401,0.512443898,-0.317480214,-0.351818859,0.198436259,0.501138627,0.498811688,0.081528571,-0.189598919,-0.098361066,0.37452178,0.373135116
Win Pct,0.99446111,-0.996527657,0.818966744,1,-0.552638769,0.693641117,0.75611358,0.648545246,0.75953793,0.61674744,-0.649830646,0.378504356,-0.389380973,-0.673199012,-0.622801952,-0.644046961,-0.655969377,-0.726556775,0.539193484,0.402619904,0.190093906,0.747426196,-0.162295585,-0.394426036,0.06120925,0.268451226,-0.186932,-0.408955406,0.054279582,-0.208277395,0.399987773,-0.325668319,0.186680964,0.498525431,-0.35590974,-0.248650904,0.238782614,0.529155782,0.169087299,-0.003516267,-0.217327271,-0.137434559,-0.302563549,-0.191493457,0.163472132,0.159996934,-0.335356715,0.114575852,0.239518337,-0.392747534,0.43923662,0.639351878,0.429094319,0.55536929,0.285971912,-0.329456437,0.246350744,0.576089353,-0.01214574,-0.384156089,-0.637535126,-0.39321351,-0.344668766,0.043951976,0.237941958,0.268800971,0.028569419,-0.10169683,0.479594908,0.395631313,0.15551659,0.076285955,-0.026418384,-0.297813093,-0.234580015,-0.195820358,-0.045637206,-0.364654951,-0.532006056,-0.567568329,-0.326814493,0.011967645,-0.579163051,-0.355667576,-0.489444852,0.721316784,0.610099965,0.479780667,0.256825967,0.761270638,0.505000407,-0.648874565,-0.067669526,-0.502080095,-0.622514334,-0.584206656,-0.643336899,-0.371852814,0.487288151,0.513947218,0.433886403,0.604880066,0.389232129,-0.596201758,0.672025098,0.674958857,0.587794623,-0.748112957,-0.644046961,-0.651681921,0.150862485,-0.16697987,-0.018749125,-0.032887815,-0.648311358,-0.762870001,-0.739036444,0.785553118,0.796843206,0.053881855,0.206752088,0.339349122,-0.0016554,0.823085903,0.765008399,-0.404798308,0.542540553,0.356484532,0.669864794,0.585342299,0.412424759,-0.648467253,0.229226513,0.619990605,0.656247819,-0.347131453,-0.533343185,0.237009984,0.562603282,0.568642697,-0.024615738,-0.392747534,-0.328834098,0.558610194,0.559680506
Off Rank,-0.547510013,0.555317406,-0.428833643,-0.552638769,1,-0.690523047,-0.905436921,-0.873235902,-0.83067112,-0.965303348,0.045476968,-0.380261168,-0.117840809,0.130706471,0.110576568,0.118157552,0.067772558,0.880611283,-0.449492141,-0.61782439,-0.215805534,-0.861359549,-0.202154594,0.035638126,-0.262253867,-0.186347801,-0.183843987,0.330286593,-0.168274187,0.011603024,-0.335077886,0.159851956,-0.148648636,-0.301025133,0.162015199,0.053925682,-0.385859591,-0.305921089,-0.357280671,-0.197059932,0.009651826,0.114012665,0.014808482,-0.031025893,-0.086771284,-0.083316258,0.649101048,-0.350411901,-0.462778543,0.234430395,-0.661654338,-0.67171221,-0.389551735,-0.707643916,-0.621094093,-0.079853495,-0.318695105,-0.432399317,-0.262949928,0.039221217,0.186926923,0.092919098,-0.079006799,-0.182644868,-0.241775203,-0.292345301,-0.178981349,-0.064693842,-0.180995734,-0.094792474,0.002963441,0.040615978,-0.095174308,0.430716074,0.213768213,0.024841591,-0.096555881,-0.014410231,0.163572061,0.115956157,0.221286034,-0.110252373,0.141421437,0.010546638,0.395657934,-0.713753172,-0.503833835,-0.583122034,-0.182475335,-0.72309971,-0.419635033,0.138476551,-0.080053858,0.059453062,0.119491551,0.123800041,0.156989403,0.424388335,-0.248788116,-0.45026501,-0.565283121,-0.556191831,-0.400809992,0.227530014,-0.277046379,-0.257270211,-0.230010239,0.155904231,0.118157552,0.176621962,-0.353537559,0.128990906,-0.115381661,-0.077437482,0.099250934,0.188997009,0.865723545,-0.813150299,-0.796594773,-0.161509156,-0.203142267,-0.122370783,0.017851565,-0.815548312,-0.853910455,0.199926572,-0.295771597,-0.128504719,-0.257863586,-0.295803784,-0.203819042,0.707772675,-0.065382608,-0.585770306,-0.707090956,0.054542734,0.308986835,-0.031026316,-0.388771006,-0.312262817,-0.021580054,0.234430395,0.172832733,-0.302049796,-0.307953191
Off Plays,0.715854706,-0.676845842,0.723447031,0.693641117,-0.690523047,1,0.816111384,0.515047115,0.7109306,0.72573462,-0.309555396,0.517652972,-0.033043443,-0.378358004,-0.249646059,-0.262734149,-0.314061855,-0.834240839,0.471329115,0.591261791,0.274516833,0.863310036,0.080621271,-0.206951649,0.222507477,0.342755934,0.071278583,-0.300783684,0.147430054,0.009402178,0.292590024,-0.264815618,0.175554068,0.435641259,-0.270327746,-0.041080214,0.260397828,0.460671043,0.231567369,0.043593135,-0.024843441,-0.123686475,-0.068592447,-0.004241967,0.097360845,0.122141806,-0.48853067,0.433703165,0.488557017,-0.147441051,0.586073394,0.394330702,0.155725012,0.572501826,0.462118711,-0.073035874,0.313819841,0.584329228,0.227050506,-0.08402772,-0.372380387,-0.130797822,-0.079118351,0.210750008,0.397317161,0.409257743,0.213395141,-0.04960708,0.447174404,0.27110953,0.0555086,0.02058779,0.138502799,-0.262093307,-0.096806429,-0.141657589,0.134793187,-0.147487987,-0.249111345,-0.30668381,-0.178347538,0.127992866,-0.261793713,-0.172184962,-0.309169289,0.760233102,0.504429709,0.525607417,0.32391315,0.743658179,0.353020026,-0.38202841,0.113327086,-0.228574598,-0.364726107,-0.282631872,-0.375844723,-0.314086166,0.434031911,0.41839129,0.330574958,0.510830246,0.307073334,-0.416967548,0.512254849,0.486497945,0.431214957,-0.379134285,-0.262734149,-0.304662629,0.318542061,-0.17191739,0.083333182,0.089821881,-0.24810827,-0.386674352,-0.66916253,0.712857599,0.716262382,0.121047954,0.228088785,0.328697035,0.054982834,0.751396994,0.697638688,-0.383010546,0.513822556,0.293488305,0.509290513,0.538740888,0.384948599,-0.61607993,0.593267252,0.780395616,0.609880145,-0.197591888,-0.358662191,0.170163702,0.517100129,0.493674986,0.048991817,-0.147441051,-0.085804288,0.363651554,0.364384275
Off Yards,0.773413002,-0.75021904,0.718944064,0.75611358,-0.905436921,0.816111384,1,0.911831643,0.931386356,0.95363525,-0.270536747,0.477476358,-0.011505974,-0.328379869,-0.26300355,-0.278444952,-0.289036944,-0.91757857,0.529817816,0.666326332,0.260043747,0.965422153,0.135632831,-0.136762252,0.231158275,0.308952868,0.120233428,-0.381324504,0.103672318,-0.114287599,0.373105236,-0.21810609,0.187128029,0.409770525,-0.22050962,-0.107902869,0.31569358,0.517686379,0.271941848,0.082961845,-0.069623849,-0.125486447,-0.10297798,-0.036226888,0.0923386,0.112743632,-0.612520738,0.365245452,0.492915478,-0.259455122,0.712406295,0.713965047,0.409769733,0.777975321,0.59854419,-0.083977233,0.322973848,0.55614292,0.206048597,-0.138048556,-0.37437478,-0.187571604,-0.091219968,0.1932927,0.340636701,0.391217521,0.190297179,-0.037420534,0.350972865,0.25424069,0.11677072,0.041308867,0.114267898,-0.439177441,-0.230060046,-0.074741809,0.109495705,-0.112671569,-0.274086421,-0.252751194,-0.248502516,0.082075033,-0.271208184,-0.125585785,-0.445719081,0.833362664,0.602765656,0.659257867,0.228550683,0.847254061,0.473725679,-0.325586103,0.087169908,-0.183131716,-0.284028341,-0.263451188,-0.331328258,-0.42383572,0.342925006,0.519631958,0.595024518,0.639877846,0.414035852,-0.374378902,0.463882298,0.459690292,0.376957667,-0.371792054,-0.278444952,-0.324887541,0.329912108,-0.133018493,0.083160801,0.043487159,-0.264691926,-0.398017113,-0.876522214,0.925669391,0.915215959,0.137335675,0.217632605,0.226316679,0.04227151,0.942283744,0.919599132,-0.295707374,0.458285013,0.234610769,0.47167553,0.470898889,0.307260891,-0.736392283,0.12563238,0.64195633,0.741761928,-0.173935811,-0.377034425,0.084929249,0.492943715,0.42364214,0.02556866,-0.259455122,-0.190192873,0.382880069,0.384572596
Off Yards/Play,0.651545047,-0.649793565,0.546835267,0.648545246,-0.873235902,0.515047115,0.911831643,1,0.877671527,0.918381466,-0.185524563,0.337854405,0.000899123,-0.22460332,-0.227490782,-0.242702816,-0.209630114,-0.789810775,0.460331388,0.572918425,0.190849907,0.829256425,0.137903909,-0.071316957,0.192266693,0.210928723,0.119917573,-0.365344188,0.065804654,-0.166554729,0.360357413,-0.136744744,0.166031828,0.313551062,-0.138187534,-0.12548912,0.30078462,0.430871558,0.258573797,0.107268512,-0.076180519,-0.089647868,-0.1154857,-0.061778488,0.07996375,0.074376534,-0.576657232,0.232537162,0.384433231,-0.290833846,0.641714095,0.793902117,0.509915243,0.739751466,0.566901508,-0.059178517,0.274413885,0.427948588,0.158885999,-0.145166914,-0.297819944,-0.190044732,-0.063792138,0.133315838,0.221808333,0.285727293,0.129262908,-0.027584446,0.201707907,0.195163314,0.135572195,0.058145968,0.074683665,-0.467526825,-0.269373674,-0.019378508,0.068362919,-0.064456262,-0.244303652,-0.175583572,-0.249472574,0.039300566,-0.230377099,-0.065040027,-0.461323983,0.714482061,0.552394009,0.599078533,0.136103364,0.746293629,0.47723231,-0.226998525,0.026855284,-0.128366398,-0.175402999,-0.210036342,-0.24216458,-0.416957334,0.214388895,0.483411252,0.658696157,0.595995147,0.410210877,-0.278926883,0.339385973,0.350039359,0.272637903,-0.296348699,-0.242702816,-0.284997524,0.257004873,-0.069637019,0.076041913,0.01656501,-0.23128014,-0.329823747,-0.843261201,0.869490982,0.850549153,0.117778819,0.164469893,0.128392393,0.003553227,0.870333533,0.883641358,-0.174074416,0.315500043,0.142799465,0.345659178,0.317560024,0.187766376,-0.674937214,-0.218415676,0.422004007,0.688529019,-0.132433212,-0.321854252,0.024240264,0.374041602,0.297022224,0.003668027,-0.290833846,-0.229350988,0.326770114,0.331377255
Off TDs,0.774386209,-0.759559199,0.692082962,0.75953793,-0.83067112,0.7109306,0.931386356,0.877671527,1,0.874920252,-0.309721341,0.439741057,-0.064124076,-0.358127199,-0.287386901,-0.303914065,-0.321763007,-0.852935619,0.591856696,0.534009873,0.226830476,0.898097143,0.097261117,-0.131524682,0.179185413,0.252552425,0.077562527,-0.438084006,0.17432924,-0.063819984,0.438482613,-0.195415377,0.225510154,0.434785701,-0.195392475,-0.138210514,0.351660491,0.460668481,0.297520853,0.110309503,-0.110444269,-0.151338865,-0.112648198,-0.031118921,0.095874427,0.138761212,-0.476884794,0.211450059,0.350221413,-0.345285545,0.580299202,0.70753489,0.45587629,0.776173997,0.459866713,-0.133059113,0.269035131,0.49194381,0.135471629,-0.18972652,-0.382148939,-0.215589439,-0.146792868,0.124355708,0.26937193,0.318355593,0.120369294,-0.041198306,0.332448346,0.262606778,0.0816455,0.052443957,0.036112296,-0.434588739,-0.270221734,-0.084060974,0.040317593,-0.138700477,-0.283120824,-0.246091415,-0.275081397,0.049302492,-0.291974925,-0.157463186,-0.482496103,0.826560236,0.70937157,0.660998365,0.051088044,0.85124416,0.488972106,-0.340302654,0.100759043,-0.194772047,-0.303502318,-0.260946508,-0.333152131,-0.498182823,0.405432338,0.585304783,0.638622755,0.749121981,0.48711348,-0.390532336,0.482737222,0.478411289,0.398807022,-0.400755515,-0.303914065,-0.353047181,0.334035367,-0.134147956,0.064358846,0.016030275,-0.293865562,-0.414513799,-0.929843518,0.993045415,0.971899383,0.158129168,0.220329061,0.032187223,0.056974962,0.977927861,0.966020944,-0.332665409,0.475466425,0.268354935,0.494579376,0.497383251,0.345444076,-0.724053063,0.016740343,0.579460011,0.732969643,-0.147769353,-0.45880199,0.188926606,0.481053102,0.477873528,0.005149484,-0.345285545,-0.271777771,0.466668135,0.465111794
Off Yards per Game,0.613810655,-0.62207121,0.48239112,0.61674744,-0.965303348,0.72573462,0.95363525,0.918381466,0.874920252,1,-0.112708925,0.380014749,0.057730449,-0.191621123,-0.171583984,-0.182652406,-0.137345024,-0.876635837,0.472344526,0.651505346,0.253841732,0.910577981,0.159479459,-0.093285587,0.238414466,0.234068511,0.138208513,-0.367863138,0.14635743,-0.055697597,0.365255515,-0.162139615,0.161292857,0.318903683,-0.162086446,-0.056417492,0.339181879,0.408844758,0.308304504,0.154841137,-0.012485512,-0.071403215,-0.08047963,-0.039808469,0.077094441,0.048005851,-0.667648118,0.373070849,0.494149371,-0.254674491,0.702441119,0.697936512,0.396919834,0.758636782,0.649723465,0.032818177,0.30096249,0.464736851,0.235866868,-0.084872663,-0.253461608,-0.113785592,0.034454898,0.191040132,0.26904153,0.3228084,0.193610449,-0.007496102,0.225626271,0.170600397,0.084163358,0.031565379,0.125432966,-0.451904237,-0.215779536,-0.016170217,0.122747721,-0.023374892,-0.226936636,-0.164275297,-0.255713519,0.085268956,-0.204797844,-0.043356245,-0.42054292,0.767994724,0.525837962,0.631232388,0.218599292,0.777928634,0.451508759,-0.205387573,0.047011288,-0.116407707,-0.169830953,-0.175471165,-0.218867436,-0.424910062,0.256684783,0.467457646,0.595539102,0.571849368,0.40765982,-0.286104474,0.343778414,0.341831033,0.291988901,-0.224281853,-0.182652406,-0.238428065,0.344496706,-0.11130332,0.096710936,0.08223386,-0.166634779,-0.25892019,-0.85975262,0.859981284,0.843894809,0.14445844,0.188080143,0.188492046,0.000762292,0.87116777,0.902066644,-0.236425535,0.356598475,0.156032298,0.347103274,0.357026589,0.254326034,-0.709529529,0.056893813,0.591583221,0.722474897,-0.090997488,-0.337925026,0.03461397,0.41347645,0.333088494,-0.00027126,-0.254674491,-0.203087443,0.333572494,0.338121952
